	counts
OR4F5	0.0
OR4F29	0.0
OR4F16	0.0
SAMD11	133.0
NOC2L	235.0
KLHL17	85.0
PLEKHN1	20.0
PERM1	3.0
HES4	117.0
ISG15	1492.0
AGRN	556.0
RNF223	3.0
C1orf159	95.0
TTLL10	3.0
TNFRSF18	230.0
TNFRSF4	116.0
SDF4	461.0
B3GALT6	161.0
C1QTNF12	61.0
UBE2J2	384.0
SCNN1D	196.0
ACAP3	123.0
PUSL1	140.0
INTS11	508.0
CPTP	132.0
TAS1R3	3.0
DVL1	241.0
MXRA8	416.0
AURKAIP1	1429.0
CCNL2	859.0
MRPL20	948.0
ANKRD65	69.0
TMEM88B	8.0
VWA1	338.0
ATAD3C	54.0
ATAD3B	293.0
ATAD3A	115.0
TMEM240	31.0
SSU72	496.0
FNDC10	29.0
MIB2	49.0
MMP23B	117.0
CDK11B	34.0
SLC35E2B	470.0
CDK11A	49.0
NADK	448.0
GNB1	1307.0
CALML6	5.0
TMEM52	14.0
CFAP74	3.0
GABRD	7.0
PRKCZ	171.0
FAAP20	498.0
SKI	149.0
MORN1	49.0
RER1	679.0
PEX10	150.0
PLCH2	44.0
PANK4	114.0
HES5	0.0
TNFRSF14	603.0
PRXL2B	159.0
MMEL1	242.0
TTC34	3.0
ACTRT2	4.0
PRDM16	35.0
ARHGEF16	185.0
MEGF6	208.0
TPRG1L	338.0
WRAP73	140.0
TP73	5.0
CCDC27	0.0
SMIM1	376.0
LRRC47	247.0
CEP104	131.0
DFFB	42.0
C1orf174	127.0
AJAP1	28.0
NPHP4	110.0
KCNAB2	54.0
CHD5	1.0
RPL22	7212.0
RNF207	91.0
ICMT	418.0
HES3	0.0
GPR153	77.0
ACOT7	132.0
HES2	171.0
ESPN	220.0
TNFRSF25	90.0
PLEKHG5	29.0
NOL9	210.0
TAS1R1	5.0
ZBTB48	187.0
KLHL21	142.0
PHF13	136.0
THAP3	128.0
DNAJC11	120.0
CAMTA1	301.0
VAMP3	316.0
PER3	179.0
UTS2	1.0
TNFRSF9	7.0
PARK7	1954.0
ERRFI1	755.0
SLC45A1	14.0
RERE	547.0
ENO1	5486.0
CA6	4.0
SLC2A7	0.0
SLC2A5	313.0
GPR157	39.0
H6PD	202.0
SPSB1	142.0
SLC25A33	66.0
TMEM201	68.0
PIK3CD	76.0
CLSTN1	492.0
CTNNBIP1	140.0
LZIC	286.0
NMNAT1	68.0
RBP7	14.0
UBE4B	185.0
KIF1B	255.0
PGD	310.0
CENPS	155.0
CORT	11.0
DFFA	221.0
PEX14	113.0
CASZ1	42.0
C1orf127	0.0
TARDBP	550.0
MASP2	0.0
SRM	116.0
EXOSC10	194.0
MTOR	263.0
ANGPTL7	0.0
UBIAD1	106.0
DISP3	0.0
FBXO2	233.0
FBXO44	151.0
MAD2L2	309.0
FBXO6	85.0
DRAXIN	5.0
AGTRAP	752.0
C1orf167	64.0
MTHFR	126.0
CLCN6	51.0
NPPA	0.0
NPPB	3.0
KIAA2013	247.0
PLOD1	1105.0
MFN2	209.0
MIIP	177.0
TNFRSF8	20.0
TNFRSF1B	605.0
VPS13D	123.0
DHRS3	403.0
AADACL4	0.0
AADACL3	0.0
CFAP107	0.0
PRAMEF12	0.0
PRAMEF1	0.0
PRAMEF11	0.0
HNRNPCL1	0.0
PRAMEF2	0.0
PRAMEF4	0.0
PRAMEF10	0.0
PRAMEF7	0.0
PRAMEF6	0.0
PRAMEF27	0.0
HNRNPCL3	0.0
PRAMEF25	0.0
HNRNPCL2	0.0
PRAMEF26	0.0
HNRNPCL4	0.0
PRAMEF9	0.0
PRAMEF13	0.0
PRAMEF18	0.0
PRAMEF5	0.0
PRAMEF8	0.0
PRAMEF33	0.0
PRAMEF15	0.0
PRAMEF14	0.0
PRAMEF19	0.0
PRAMEF17	0.0
PRAMEF20	0.0
LRRC38	1.0
PDPN	377.0
PRDM2	133.0
KAZN	117.0
TMEM51	169.0
FHAD1	6.0
EFHD2	193.0
CTRC	0.0
CELA2A	0.0
CELA2B	0.0
CASP9	96.0
DNAJC16	108.0
AGMAT	16.0
DDI2	103.0
RSC1A1	0.0
PLEKHM2	353.0
SLC25A34	2.0
TMEM82	11.0
FBLIM1	241.0
UQCRHL	13.0
SPEN	145.0
ZBTB17	133.0
SRARP	0.0
HSPB7	17.0
CLCNKA	10.0
CLCNKB	10.0
FAM131C	5.0
EPHA2	235.0
ARHGEF19	88.0
CPLANE2	22.0
FBXO42	132.0
SZRD1	699.0
SPATA21	0.0
NECAP2	452.0
NBPF1	158.0
CROCC	122.0
MFAP2	860.0
ATP13A2	78.0
ENSG00000288636	0.0
SDHB	681.0
PADI2	20.0
PADI1	0.0
PADI3	0.0
PADI4	1.0
PADI6	0.0
RCC2	513.0
ARHGEF10L	90.0
ACTL8	2.0
IGSF21	2.0
KLHDC7A	0.0
PAX7	0.0
TAS1R2	0.0
ALDH4A1	34.0
IFFO2	57.0
UBR4	68.0
EMC1	426.0
MRTO4	340.0
AKR7L	3.0
AKR7A3	23.0
AKR7A2	339.0
SLC66A1	82.0
CAPZB	852.0
MICOS10	1359.0
NBL1	2037.0
HTR6	10.0
TMCO4	83.0
RNF186	0.0
OTUD3	65.0
